lat	lon	value
33.41	-112.02	2
33.03	-109.97	1
33.63	-112.45	2
33.43	-112.11	2
33.61	-111.99	1
33.32	-111.9	1
33.85	-112.08	1
33.32	-112.0	2
34.25	-110.05	1
33.48	-112.07	2
33.46	-112.28	2
33.41	-111.89	1
33.63	-112.12	1
33.38	-112.13	1
33.26	-112.0	1
33.57	-112.26	1
34.58	-113.17	2
33.62	-111.96	1
33.44	-112.4	1
33.51	-111.93	1
33.67	-112.12	1
32.19	-110.75	1
33.45	-112.14	1
33.61	-112.14	1
33.29	-112.02	1
33.62	-112.39	2
33.61	-112.41	1
33.54	-112.04	1
33.46	-112.1	4
33.29	-111.88	1
33.41	-111.93	3
33.5	-112.22	1
33.44	-112.41	1
33.03	-111.97	1
33.58	-112.19	1
33.63	-112.26	1
33.71	-112.14	1
33.03	-112.04	1
33.65	-112.19	1
33.51	-112.14	4
33.65	-112.05	2
33.53	-112.19	1
33.07	-112.04	1
33.47	-112.08	1
33.41	-111.95	1
33.31	-111.98	1
33.63	-112.2	1
33.43	-112.01	2
33.3	-111.85	1
33.57	-112.13	1
33.71	-112.12	3
33.51	-112.13	3
33.26	-111.79	1
33.04	-112.01	1
