lat,lon,value
33.41,-112.02,3
33.56,-112.18,7
34.14,-109.22,2
33.34,-111.91,5
33.47,-112.01,2
33.59,-113.55,2
33.34,-111.93,3
33.53,-112.09,3
33.47,-112.07,4
33.37,-111.95,33
33.42,-112.02,5
33.47,-111.81,1
33.49,-112.04,7
33.59,-113.53,1
33.56,-112.07,3
33.3,-112.45,1
33.34,-111.95,12
33.53,-112.07,1
33.37,-111.97,9
33.47,-112.15,2
33.49,-112.06,3
33.86,-109.18,8
33.53,-112.05,3
33.49,-111.98,1
33.23,-111.82,4
33.28,-111.9,2
32.88,-111.85,1
33.76,-112.13,1
33.38,-112,12
33.47,-112.31,2
33.33,-111.93,7
33.41,-112,1
33.38,-112.02,14
33.21,-111.57,5
33.33,-111.95,2
33.4,-111.97,1
33.47,-112.27,6
34.82,-111.61,1
33.87,-112.15,1
33.66,-112.24,9
33.37,-112.03,4
33.4,-111.95,10
34.91,-111.86,3
33.38,-112.08,2
33.42,-111.9,22
33.47,-112.23,8
33.23,-111.86,3
32.79,-113.55,1
33.58,-112.32,2
33.56,-111.93,3
33.59,-112.19,4
31.84,-109.3,1
33.56,-112.19,2
33.6,-112.01,2
33.59,-112.17,5
33.66,-112.2,6
33.78,-111.93,4
34.53,-114.37,1
33.6,-112.05,5
33.66,-112.22,61
33.37,-112.01,4
33.71,-112.42,7
33.6,-112.25,7
33.56,-112.09,4
33.35,-112.43,2
33.43,-112.4,44
33.49,-112.08,8
34.97,-110.04,1
33.54,-112.1,12
33.68,-112.29,3
33.37,-112.11,1
34.31,-111.02,1
33.62,-112.39,11
33.54,-112.14,4
33.48,-112.1,8
34.28,-111.15,1
32.31,-109.5,1
33.49,-112.22,1
33.49,-112.35,1
33.26,-111.87,1
33.33,-111.89,2
33.83,-112.61,1
33.45,-111.5,1
33.75,-111.99,8
33.33,-111.87,36
33.6,-112.27,2
33.71,-111.83,4
33.85,-112.15,1
33.06,-111.8,1
31.36,-109.7,4
32.83,-113.37,2
33.26,-111.89,6
33.64,-112.3,3
33.6,-112.33,2
33.23,-111.88,5
33.46,-112.27,6
32.83,-113.39,1
33.64,-112.32,1
33.44,-112.91,3
33.29,-112.1,4
33.43,-112.12,6
33.6,-112.39,9
33.44,-112.11,2
33.57,-112.21,1
33.62,-112.21,2
33.64,-112.42,3
33.43,-112.14,1
33.44,-111.55,1
33.6,-112.19,51
33.52,-111.95,1
33.64,-112.44,1
33.44,-112.07,210
33.43,-112.16,1
33.6,-112.17,13
33.7,-112.15,2
33.12,-112.66,1
33.64,-112.46,1
33.44,-112.05,1
35.35,-114.24,1
33.71,-112.12,31
33.37,-112.63,1
34.27,-109.77,1
33.55,-112.27,6
33.61,-112,4
32.82,-111.97,1
35.22,-111.83,1
33.7,-112.03,2
33.62,-112.37,1
33.5,-112.19,2
33.61,-112.06,2
33.64,-112.03,7
33.36,-112.15,5
33.05,-112.05,32
33.62,-112.35,6
33.6,-112.12,3
33.52,-111.94,1
34.39,-110.56,2
33.55,-112.05,2
33.44,-112.17,1
32.96,-112.68,1
33.55,-112.07,8
33.4,-112.02,2
33.54,-112.35,1
33.43,-111.96,11
35.65,-114.11,1
33.49,-111.93,42
33.32,-111.87,2
34.15,-114.27,1
33.21,-111.94,1
33.29,-111.85,3
32.68,-114.02,1
33.55,-112.37,1
33.7,-112.42,1
32.96,-111.57,1
33.64,-112.15,12
33.3,-111.92,3
33.73,-112.58,2
33.29,-112.03,2
36.16,-109.59,1
33.45,-112.1,9
33.58,-112.41,10
33.34,-112.45,1
33.61,-112.02,4
33.29,-111.81,4
33.32,-111.93,18
34.95,-111.64,2
33.61,-112.2,1
35.7,-109.51,9
33.29,-111.93,6
35.32,-112.89,1
33.51,-111.9,1
33.43,-111.92,3
33.29,-111.91,7
33.46,-112.23,7
33.64,-111.93,2
33.75,-112.13,2
33.33,-112.5,26
32.55,-110.94,1
34.17,-113.03,1
33.32,-111.85,8
32.8,-109.76,1
33.46,-112.21,9
33.65,-112.03,8
33.35,-111.98,2
33.86,-111.48,4
33.47,-112.03,15
33.65,-111.88,3
33.5,-111.79,1
33.35,-111.96,8
33.44,-112.09,1
31.96,-110.35,2
33.72,-112.44,1
33.46,-112.31,1
34.85,-111.79,1
33.67,-112.15,1
32.82,-113.45,1
32.53,-111.29,1
33.58,-111.82,10
33.44,-112.25,3
33.61,-111.99,2
33.61,-112.36,9
33.52,-112.03,5
